INFO 2025-01-09 22:26:58,391 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 22:27:00,805 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 22:28:30,643 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-09 22:28:33,373 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-09 22:38:52,759 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 22:38:52,793 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 22:46:34,085 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 22:51:52,891 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 23:46:16,227 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-09 23:49:29,532 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:01:50,532 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:01:50,610 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:07:01,600 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:08:18,993 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-10 00:08:21,690 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-10 00:09:17,994 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:10:39,343 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:11:09,127 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:20:01,500 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:20:14,461 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:26:59,854 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:26:59,914 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:27:03,035 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:28:13,310 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:31:37,406 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:31:44,275 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:38:33,764 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:45:16,025 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-10 00:45:18,947 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-10 00:49:13,149 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-10 00:49:15,784 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-10 00:49:56,823 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 00:51:45,951 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 08:54:10,528 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 08:57:25,497 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 08:59:31,796 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 09:19:43,728 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 09:26:18,082 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 09:29:20,086 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:01:42,643 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:01:42,736 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:03:26,875 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-10 10:03:29,682 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 StXh@STXHNEC
